entity_1,entity_2,relation_type,frequency
French Competition Authority,Nvidia,regulates,2
Nvidia,Microsoft,trades_with,2
cyberattacks,Nvidia,threatens,2
ransomware,Nvidia,threatens,2
Nvidia,OEMs,depends_on,2
Nvidia,ODMs,depends_on,2
Nvidia,GPUs,produces,2
Ethereum,Nvidia,influences,2
United States,Vietnam,regulates,2
JPMorgan Chase,interest rates,depends_on,2
quantum computing,JPMorgan Chase,threatens,2
artificial intelligence,JPMorgan Chase,threatens,2
Russia,JPMorgan Chase,threatens,2
pandemics,JPMorgan Chase,disrupts,2
JPMorgan Chase,commercial real estate,operates_in,2
Supplementary Leverage Ratio,"JPMorgan Chase Bank, N.A.",regulates,2
Federal Home Loan Banks,JPMorgan Chase,funds,2
minimum global tax regime,JPMorgan Chase,regulates,2
immigration policies,JPMorgan Chase,influences,2
the U.S. Government,JPMorgan Chase,regulates,2
cybersecurity attacks,Apple Inc.,threatens,2
Nvidia,artificial intelligence,develops,2
geopolitical tensions,JPMorgan Chase,threatens,2
natural disasters,JPMorgan Chase,disrupts,2
JPMorgan Chase,CCPs,depends_on,2
JPMorgan Chase,cloud computing,depends_on,2
JPMorgan Chase,clients,depends_on,2
JPMorgan Chase,Customer,depends_on,2
immigration policies,JPMorgan Chase,threatens,2
EU Digital Markets Act,Apple Inc.,regulates,2
semiconductors,Apple Inc.,threatens,2
Apple Inc.,multifactor authentication,develops,2
Microsoft Teams,Slack,competes_with,2
Microsoft,Dell,depends_on,2
Microsoft,Hewlett-Packard,depends_on,2
Microsoft,Lenovo,depends_on,2
Windows,Linux,competes_with,2
Microsoft,Adobe,competes_with,2
Microsoft,United States,operates_in,2
COVID-19,Nvidia,disrupts,2
Nvidia,Arm,opposes,2
Nvidia,Earth-2,develops,2
JPMorgan Chase,"JPMorgan Chase Bank, N.A.",controls,2
JPMorgan Chase,JPMorgan Chase Holdings LLC,controls,2
LIBOR,SOFR,disrupts,2
Federal Home Loan Banks,JPMorgan Chase,supplies,2
JPMorgan Chase,Securities and Exchange Commission,depends_on,2
COVID-19,global supply chain,disrupts,2
natural disasters,Apple Inc.,disrupts,2
earthquakes,Apple Inc.,disrupts,2
trade disputes,Apple Inc.,threatens,2
inflation,Apple Inc.,threatens,2
recession,Apple Inc.,threatens,2
export controls,Apple Inc.,regulates,2
Solorigate,Microsoft,threatens,2
United States,Microsoft,regulates,2
Tax Cuts and Jobs Act,Microsoft,regulates,2
Nvidia,Korea,depends_on,2
GDPR,Nvidia,regulates,2
Ethereum 2.0,Nvidia,threatens,2
Internal Revenue Service,Nvidia,regulates,2
Colette M. Kress,Nvidia,controls,2
SOFR,LIBOR,disrupts,2
ICE Benchmark Administration,LIBOR,controls,2
LIBOR,JPMorgan Chase,threatens,2
JPMorgan Chase,securities,trades_with,2
interest rates,mortgage servicing rights,influences,2
oil and gas,JPMorgan Chase,threatens,2
JPMorgan Chase,hedge funds,trades_with,2
JPMorgan Chase,asset managers,trades_with,2
Regulatory,JPMorgan Chase,regulates,2
JPMorgan Chase,government entities,trades_with,2
third-party developers,App Store,depends_on,2
Microsoft,OEM partners,depends_on,2
Department of Justice,Microsoft,regulates,2
smartphones,Windows,competes_with,2
Nvidia,Taiwan Semiconductor Manufacturing Company Limited,depends_on,2
Nvidia,Samsung Electronics Co. Ltd.,depends_on,2
Export Control Reform Act of 2018,Nvidia,regulates,2
General Data Protection Regulation,Nvidia,regulates,2
Nvidia,autonomous driving,develops,2
Delaware General Corporation Law,Nvidia,regulates,2
Securities and Exchange Commission,Nvidia,regulates,2
Brexit,JPMorgan Chase,disrupts,2
Brexit,United Kingdom,influences,2
JPMorgan Chase,Federal Home Loan Banks,depends_on,2
antitrust laws,Apple Inc.,regulates,2
data security laws,Apple Inc.,regulates,2
foreign currencies,Apple Inc.,influences,2
United States,Sudan,sanctions,2
smartphones,personal computers,competes_with,2
Microsoft,datacenters,operates_in,2
climate change,Microsoft,threatens,2
U.K. Prudential Regulation Authority,J.P. Morgan Securities plc,regulates,2
Office of Foreign Assets Control,JPMorgan Chase,regulates,2
hedge funds,JPMorgan Chase,competes_with,2
European Market Infrastructure Regulation,JPMorgan Chase,regulates,2
Markets in Financial Instruments Directive,JPMorgan Chase,regulates,2
the Financial Stability Oversight Council,JPMorgan Chase,regulates,2
Apple Inc.,third-party content providers,depends_on,2
earthquakes,Apple Inc.,threatens,2
natural disasters,contract manufacturers,disrupts,2
Microsoft,Slack,competes_with,2
Microsoft,Linux,competes_with,2
Microsoft,Open Source Software,competes_with,2
Microsoft,Cloud Computing,develops,2
Hackers,Microsoft,threatens,2
Nation-States,Microsoft,threatens,2
Microsoft,Cybersecurity,develops,2
MiFID II,JPMorgan Chase,regulates,2
EMIR,JPMorgan Chase,regulates,2
CRD IV,JPMorgan Chase,regulates,2
Financial Stability Board,JPMorgan Chase,regulates,2
Nvidia,gaming,operates_in,2
Nvidia,datacenter,operates_in,2
Nvidia,automotive,operates_in,2
Nvidia,professional visualization,operates_in,2
Nvidia,TCJA,depends_on,2
GeForce,gaming,operates_in,2
Quadro,professional visualization,operates_in,2
Tesla,datacenter,operates_in,2
DGX,datacenter,operates_in,2
Tegra,automotive,operates_in,2
currency fluctuations,Apple Inc.,threatens,2
component suppliers,Apple Inc.,supplies,2
Microsoft,Infor,competes_with,2
Microsoft,NetSuite,competes_with,2
Microsoft,The Sage Group,competes_with,2
Microsoft,Samsung,trades_with,2
Nvidia,Datacenter,operates_in,2
Nvidia,Nintendo,supplies,2
Nvidia,Bosch,allies_with,2
Nvidia,Mercedes-Benz,allies_with,2
Nvidia,ZF,allies_with,2
Department of Justice,JPMorgan Chase,regulates,2
consumer confidence,JPMorgan Chase,influences,2
data protection laws,JPMorgan Chase,regulates,2
antitrust law,JPMorgan Chase,regulates,2
TLAC rules,JPMorgan Chase,regulates,2
Apple Inc.,global economy,depends_on,2
Apple Inc.,macOS,develops,2
cellular network carriers,iPhone,influences,2
component suppliers,Asian,operates_in,2
import and export regulations,Apple Inc.,regulates,2
Microsoft,developers,depends_on,2
Microsoft,intellectual property rights,depends_on,2
patent laws,Microsoft,regulates,2
economic sanctions,Russia,threatens,2
JPMorgan Chase,fixed income markets,operates_in,2
JPMorgan Chase,equity markets,operates_in,2
JPMorgan Chase,commodities markets,operates_in,2
JPMorgan Chase,credit markets,operates_in,2
JPMorgan Chase,currency markets,operates_in,2
competitors,Apple Inc.,threatens,2
patent holding companies,Apple Inc.,threatens,2
payment card industry security standards,Apple Inc.,regulates,2
tablets,personal computers,competes_with,2
competition laws,Microsoft,regulates,2
telecommunications regulations,Skype,regulates,2
terrorist attack,Microsoft,threatens,2
recession,Microsoft,threatens,2
Microsoft,Windows 10,develops,2
Microsoft,Microsoft Azure,develops,2
Nvidia,GeForce,develops,2
Nvidia,Quadro,develops,2
Nvidia,Tesla,develops,2
Nvidia,GRID,develops,2
Nvidia,Tegra,develops,2
Nvidia,Icera,controls,2
Nvidia,Maxwell,develops,2
Nvidia,U.S. GAAP,depends_on,2
China,JPMorgan Chase,influences,2
Eurozone,JPMorgan Chase,influences,2
JPMorgan Chase,broker-dealers,competes_with,2
JPMorgan Chase,hedge funds,competes_with,2
JPMorgan Chase,investment banks,competes_with,2
Prudential Regulation Authority,J.P. Morgan Securities plc,regulates,2
tariffs,Synopsys,threatens,2
artificial intelligence,Synopsys,influences,2
Synopsys,Ansys,controls,2
supply chain disruptions,Synopsys,disrupts,2
geopolitical pressures,Synopsys,threatens,2
climate change,Synopsys,threatens,2
Securities and Exchange Commission,Synopsys,regulates,2
Internal Revenue Service,Synopsys,regulates,2
European Union,Synopsys,regulates,2
Corporate Sustainability Reporting Directive,Synopsys,regulates,2
Foreign Corrupt Practices Act,Synopsys,regulates,2
Entity List,Synopsys,regulates,2
Synopsys,artificial intelligence,develops,2
Synopsys,Design IP,produces,2
United States,Taiwan,allies_with,2
Broadcom,TSMC,depends_on,2
tariffs,Broadcom,threatens,2
Federal Trade Commission,Broadcom,regulates,2
China,rare earth metals,supplies,2
open source software,Broadcom,threatens,2
climate change,Broadcom,threatens,2
inflation,Broadcom,threatens,2
recession,Broadcom,threatens,2
TSMC,Broadcom,supplies,2
cyberattacks,Hewlett Packard Enterprise,threatens,2
climate change,Hewlett Packard Enterprise,threatens,2
Hewlett Packard Enterprise,artificial intelligence,develops,2
Keysight Technologies,Russia,operates_in,2
tariffs,Keysight Technologies,threatens,2
the Export Administration Regulations,Keysight Technologies,regulates,2
Foreign Corrupt Practices Act,Keysight Technologies,regulates,2
U.K. Bribery Act,Keysight Technologies,regulates,2
General Data Protection Regulation,Keysight Technologies,regulates,2
Keysight Technologies,Singapore,operates_in,2
Keysight Technologies,Malaysia,operates_in,2
Keysight Technologies,India,operates_in,2
Centripetal Networks,Keysight Technologies,opposes,2
International Trade Commission,Keysight Technologies,regulates,2
climate change,Keysight Technologies,threatens,2
Science Based Target Initiative,Keysight Technologies,regulates,2
Keysight Technologies,Internet of Things,develops,2
the U.S. Department of Commerce,Keysight Technologies,regulates,2
Tax Cuts and Jobs Act,Keysight Technologies,regulates,2
the Inflation Reduction Act,Keysight Technologies,regulates,2
Keysight Technologies,United States,operates_in,2
Ciena,cloud providers,depends_on,2
Ciena,AI,develops,2
tariffs,Canada,disrupts,2
tariffs,Mexico,disrupts,2
EU Artificial Intelligence Act,Ciena,regulates,2
ransomware,Ciena,threatens,2
HP Inc.,artificial intelligence,develops,2
HP Inc.,Canon,depends_on,2
HP Inc.,Intel,depends_on,2
HP Inc.,AMD,depends_on,2
HP Inc.,NVIDIA,depends_on,2
HP Inc.,Microsoft,depends_on,2
HP Inc.,Google,depends_on,2
HP Inc.,China,operates_in,2
HP Inc.,Israel,operates_in,2
HP Inc.,Hewlett Packard Enterprise,allies_with,2
California,HP Inc.,regulates,2
inflation,HP Inc.,threatens,2
Securities and Exchange Commission,HP Inc.,regulates,2
Analog Devices,Ireland,operates_in,2
Analog Devices,Philippines,operates_in,2
Analog Devices,Thailand,operates_in,2
Analog Devices,Malaysia,operates_in,2
the Export Administration Regulations,Analog Devices,regulates,2
International Traffic and Arms Regulations,Analog Devices,regulates,2
tariffs,Analog Devices,threatens,2
Analog Devices,TSMC,depends_on,2
Analog Devices,wafer foundries,depends_on,2
TSMC,Taiwan,operates_in,2
Analog Devices,semiconductor industry,operates_in,2
CHIPS and Science Act of 2022,semiconductor industry,funds,2
Analog Devices,AI,develops,2
European Union,AI,regulates,2
GDPR,Analog Devices,regulates,2
PIPL,Analog Devices,regulates,2
climate change,Analog Devices,threatens,2
China,rare earth materials,controls,2
Federal Acquisition Regulations,Analog Devices,regulates,2
OECD,Analog Devices,regulates,2
the Inflation Reduction Act,Analog Devices,regulates,2
Section 232,semiconductors,regulates,2
"F5, Inc.",contract manufacturers,depends_on,2
"F5, Inc.",Israel,operates_in,2
Israeli military,"F5, Inc.",disrupts,2
"F5, Inc.",Distribution,depends_on,2
"F5, Inc.",cloud hosting service providers,depends_on,2
export controls,"F5, Inc.",regulates,2
data protection laws,"F5, Inc.",regulates,2
Corporate Sustainability Reporting Directive,"F5, Inc.",regulates,2
Sarbanes-Oxley Act,"F5, Inc.",regulates,2
Foreign Corrupt Practices Act,"F5, Inc.",regulates,2
OECD Pillar Two,"F5, Inc.",regulates,2
"F5, Inc.",artificial intelligence,develops,2
climate change,"F5, Inc.",threatens,2
earthquakes,"F5, Inc.",threatens,2
terrorism,"F5, Inc.",threatens,2
nation-state actors,"F5, Inc.",threatens,2
"F5, Inc.",SaaS,develops,2
competitors,cloud computing,develops,2
"F5, Inc.",value-added resellers,depends_on,2
"F5, Inc.",systems integrators,depends_on,2
"F5, Inc.",hardware components,depends_on,2
Middle East,"F5, Inc.",threatens,2
"F5, Inc.",United States,operates_in,2
Securities and Exchange Commission,"F5, Inc.",regulates,2
U.S. Internal Revenue Service,"F5, Inc.",regulates,2
cybersecurity threats,PTC Inc.,threatens,2
tariffs,TE Connectivity,threatens,2
TE Connectivity,China,operates_in,2
TE Connectivity,automotive industry,depends_on,2
Ireland,TE Connectivity,regulates,2
Paris Climate Agreement,TE Connectivity,regulates,2
climate change,TE Connectivity,threatens,2
California Consumer Privacy Act,TE Connectivity,regulates,2
TE Connectivity,copper,depends_on,2
TE Connectivity,gold,depends_on,2
TE Connectivity,silver,depends_on,2
TE Connectivity,palladium,depends_on,2
TE Connectivity,aluminum,depends_on,2
TE Connectivity,resins,depends_on,2
the Democratic Republic of Congo,tin,produces,2
the Democratic Republic of Congo,tantalum,produces,2
the Democratic Republic of Congo,tungsten,produces,2
the Democratic Republic of Congo,gold,produces,2
EU Conflict Minerals Regulation,TE Connectivity,regulates,2
Foreign Corrupt Practices Act,TE Connectivity,regulates,2
the United Kingdom Bribery Act,TE Connectivity,regulates,2
Environmental Protection Agency,TE Connectivity,regulates,2
EU RoHS Directive,TE Connectivity,regulates,2
Irish Companies Act 2014,TE Connectivity,regulates,2
trade barriers,TE Connectivity,threatens,2
Fair Isaac Corporation,FICO Platform,develops,2
Fair Isaac Corporation,FICO Score,produces,2
Fannie Mae,FICO Score,depends_on,2
Freddie Mac,FICO Score,depends_on,2
Federal Housing Finance Agency,FICO Score,regulates,2
Federal Housing Finance Agency,Fannie Mae,regulates,2
Federal Housing Finance Agency,Freddie Mac,regulates,2
Experian,Fair Isaac Corporation,competes_with,2
TransUnion,Fair Isaac Corporation,competes_with,2
Equifax,Fair Isaac Corporation,competes_with,2
Fair Isaac Corporation,artificial intelligence,develops,2
ransomware,Fair Isaac Corporation,threatens,2
General Data Protection Regulation,Fair Isaac Corporation,regulates,2
California Consumer Privacy Act,Fair Isaac Corporation,regulates,2
EU AI Act,Fair Isaac Corporation,regulates,2
the Consumer Financial Protection Bureau,Fair Isaac Corporation,regulates,2
