entity_1,entity_2,relation_type,frequency
Securities and Exchange Commission,Intangible Assets,co_occurrence,322
Germany,Japan,co_occurrence,322
Financial Reporting,Management s Report on Internal Control,co_occurrence,322
United States,District Court,co_occurrence,322
Securities and Exchange Commission,Section 13 or 15(d,co_occurrence,321
European Union,Office of Foreign Assets Control,co_occurrence,320
China,Federal Trade Commission,co_occurrence,319
ESG,Ukraine,co_occurrence,319
United States,HIPAA,co_occurrence,318
Securities and Exchange Commission,the U.S. Dollar,co_occurrence,317
China,GHG,co_occurrence,317
Environmental Protection Agency,United Kingdom,co_occurrence,317
China,Federal Reserve,co_occurrence,316
Securities and Exchange Commission,Office of Foreign Assets Control,co_occurrence,314
China,the Delaware General Corporation Law,co_occurrence,314
United States,IP,co_occurrence,314
the Delaware General Corporation Law,United Kingdom,co_occurrence,314
Securities and Exchange Commission,Controller,co_occurrence,313
Switzerland,United States,co_occurrence,313
China,climate change,co_occurrence,312
Customer,United States,co_occurrence,312
Japan,Brazil,co_occurrence,311
Contractual Obligations,United States,co_occurrence,310
United States,FCA,co_occurrence,310
Securities and Exchange Commission,Contingencies,co_occurrence,309
the Inflation Reduction Act,United States,co_occurrence,309
European Union,GHG,co_occurrence,309
Germany,France,co_occurrence,308
France,European Union,co_occurrence,308
United Kingdom,E.U.,co_occurrence,308
China,Ireland,co_occurrence,307
Internal Control,United States,co_occurrence,307
Securities and Exchange Commission,New Jersey,co_occurrence,306
United States,Controller,co_occurrence,306
China,Cybersecurity,co_occurrence,305
United States,Capital Resources,co_occurrence,303
United Kingdom,Netherlands,co_occurrence,303
Securities and Exchange Commission,Internal Control,co_occurrence,302
China,France,co_occurrence,302
Medicaid,United Kingdom,co_occurrence,302
Canada,Principal Accounting Fees and Services,co_occurrence,302
Securities and Exchange Commission,Significant Accounting Policies,co_occurrence,301
Securities and Exchange Commission,Massachusetts,co_occurrence,300
Japan,Russia,co_occurrence,300
North American,Canada,co_occurrence,299
China,Department of Justice,co_occurrence,299
United States,Israel,co_occurrence,299
Securities and Exchange Commission,Basis for Opinion The Company,co_occurrence,298
Securities and Exchange Commission,Netherlands,co_occurrence,298
Securities and Exchange Commission,Australian,co_occurrence,298
inflation,United States,co_occurrence,298
United States,Puerto Rico,co_occurrence,298
United States,Basis for Opinion The Company,co_occurrence,298
United States,Section 13 or 15(d,co_occurrence,297
European Union,climate change,co_occurrence,296
Germany,India,co_occurrence,295
the Health Insurance Portability,United States,co_occurrence,295
Mexico,Australia,co_occurrence,295
Ukraine,India,co_occurrence,294
States,United Kingdom,co_occurrence,294
Securities and Exchange Commission,Hong Kong,co_occurrence,293
Securities and Exchange Commission,Acquisitions,co_occurrence,293
United States,South Korea,co_occurrence,293
the California Consumer Privacy Act,Russia,co_occurrence,293
Securities and Exchange Commission,Contractual Obligations,co_occurrence,292
Mexico,India,co_occurrence,292
Mexico,Russia,co_occurrence,292
United States,AOCI,co_occurrence,292
the U.S. Supreme Court,Securities and Exchange Commission,co_occurrence,291
European Union,Taiwan,co_occurrence,291
European Union,U.S. Treasury,co_occurrence,291
CMS,United States,co_occurrence,290
China,U.S. Treasury,co_occurrence,289
United States,FDIC,co_occurrence,289
Intellectual Property,United States,co_occurrence,288
Singapore,Japan,co_occurrence,288
Canada,France,co_occurrence,288
Canada,Food and Drug Administration,co_occurrence,288
United States,the U.S. Department,co_occurrence,287
United States,Fair,co_occurrence,287
European Union,E.U.,co_occurrence,287
Foreign Corrupt Practices Act,Russia,co_occurrence,287
Securities and Exchange Commission,Ohio,co_occurrence,286
Italy,United States,co_occurrence,286
Canada,Management s Discussion and Analysis of Financial Condition,co_occurrence,286
Canada,Federal Reserve,co_occurrence,286
Securities and Exchange Commission,Medicaid,co_occurrence,283
United States,the U.S. Department of Commerce,co_occurrence,283
China,the U.S. Congress,co_occurrence,282
United States,Malaysia,co_occurrence,282
the Financial Conduct Authority,United Kingdom,co_occurrence,281
Canada,U.S. Treasury,co_occurrence,281
Securities and Exchange Commission,Revolving Credit Facility,co_occurrence,280
Securities and Exchange Commission,Illinois,co_occurrence,279
FINANCIAL STATEMENT SCHEDULES,Principal Accounting Fees and Services,co_occurrence,279
Critical Accounting Policies,United Kingdom,co_occurrence,276
Securities and Exchange Commission,Healthcare,co_occurrence,275
Canada,Critical Accounting Policies,co_occurrence,275
Canada,GHG,co_occurrence,275
Hong Kong,United Kingdom,co_occurrence,274
China,artificial intelligence,co_occurrence,273
China,Netherlands,co_occurrence,273
CMS,Medicare,co_occurrence,273
Securities and Exchange Commission,Asian,co_occurrence,272
Independent Registered Public Accounting Firm,United States,co_occurrence,272
Securities and Exchange Commission,Maryland,co_occurrence,271
China,the U.S. Dollar,co_occurrence,271
United States,Finance,co_occurrence,271
United States,Black-Scholes,co_occurrence,271
Securities and Exchange Commission,Capital Resources,co_occurrence,270
the Clean Air Act,United States,co_occurrence,270
North American,United Kingdom,co_occurrence,269
China,Asian,co_occurrence,269
Legal,United States,co_occurrence,269
Securities and Exchange Commission,Independent Registered Public Accounting Firm,co_occurrence,268
Securities and Exchange Commission,AOCI,co_occurrence,268
North American,China,co_occurrence,268
Environmental Protection Agency,FERC,co_occurrence,268
Canada,Ireland,co_occurrence,268
China,South Korea,co_occurrence,267
the U.S. Treasury Department,United States,co_occurrence,267
Brexit,the California Consumer Privacy Act,co_occurrence,267
Ukraine,the California Consumer Privacy Act,co_occurrence,267
Hong Kong,China,co_occurrence,266
Mexico,Japan,co_occurrence,266
the U.S. Dollar,United Kingdom,co_occurrence,265
Office of Foreign Assets Control,United Kingdom,co_occurrence,265
Securities and Exchange Commission,artificial intelligence,co_occurrence,264
European Union,Healthcare,co_occurrence,264
CMS,Medicaid,co_occurrence,263
Healthcare,United Kingdom,co_occurrence,263
Securities and Exchange Commission,Fair,co_occurrence,262
China,Corporate,co_occurrence,262
Canada,Federal Trade Commission,co_occurrence,262
Securities and Exchange Commission,District Court,co_occurrence,261
United States,Loss,co_occurrence,261
European Union,Netherlands,co_occurrence,261
United Kingdom,Cybersecurity,co_occurrence,261
Securities and Exchange Commission,Black-Scholes,co_occurrence,260
FCA,United Kingdom,co_occurrence,260
Stockholder Matters,Principal Accounting Fees and Services,co_occurrence,260
China,Principal Accounting Fees and Services,co_occurrence,259
Switzerland,United Kingdom,co_occurrence,259
Securities and Exchange Commission,the London Interbank Offered Rate,co_occurrence,258
Securities and Exchange Commission,the Financial Conduct Authority,co_occurrence,258
Foreign Corrupt Practices Act,India,co_occurrence,258
Australian,United Kingdom,co_occurrence,258
New Zealand,United States,co_occurrence,257
Japan,Foreign Corrupt Practices Act,co_occurrence,257
United Kingdom,GHG,co_occurrence,257
Securities and Exchange Commission,Puerto Rico,co_occurrence,256
Securities and Exchange Commission,Finance,co_occurrence,256
the Financial Conduct Authority,European Union,co_occurrence,256
Germany,Brazil,co_occurrence,255
United States,Our Business and Industry,co_occurrence,255
Securities and Exchange Commission,Customer,co_occurrence,254
artificial intelligence,European Union,co_occurrence,254
Canada,Department of Justice,co_occurrence,254
Brexit,Australia,co_occurrence,254
United States,the Patient Protection,co_occurrence,254
European Union,the U.S. Dollar,co_occurrence,254
Japan,Euro,co_occurrence,254
United Kingdom,Credit Agreement,co_occurrence,254
China,Critical Accounting Policies,co_occurrence,253
artificial intelligence,climate change,co_occurrence,253
PricewaterhouseCoopers LLP,United States,co_occurrence,253
European Union,States,co_occurrence,253
Securities and Exchange Commission,FDIC,co_occurrence,252
Security Ownership of Certain Beneficial Owners and Management,Stockholder Matters,co_occurrence,252
Food and Drug Administration,Japan,co_occurrence,251
United States,Spain,co_occurrence,251
United States,Inventories,co_occurrence,250
Securities and Exchange Commission,Switzerland,co_occurrence,249
Securities and Exchange Commission,FERC,co_occurrence,249
China,States,co_occurrence,249
United States,the Democratic Republic of Congo,co_occurrence,249
European Union,HIPAA,co_occurrence,249
India,the California Consumer Privacy Act,co_occurrence,249
Securities and Exchange Commission,PricewaterhouseCoopers LLP,co_occurrence,248
Switzerland,European Union,co_occurrence,248
Foreign Corrupt Practices Act,the California Consumer Privacy Act,co_occurrence,247
United Kingdom,Principal Accounting Fees and Services,co_occurrence,247
Securities and Exchange Commission,Israel,co_occurrence,246
ESG,the California Consumer Privacy Act,co_occurrence,246
Medicare,HIPAA,co_occurrence,246
China,the Private Securities Litigation Reform Act,co_occurrence,245
China,Malaysia,co_occurrence,245
China,Medicare,co_occurrence,245
Financial Reporting,Internal Control,co_occurrence,245
United States,tariffs,co_occurrence,245
Ukraine,Australia,co_occurrence,245
Brexit,the Tax Cuts and Jobs Act,co_occurrence,244
Federal Trade Commission,the California Consumer Privacy Act,co_occurrence,244
Japan,Taiwan,co_occurrence,244
Ukraine,Foreign Corrupt Practices Act,co_occurrence,244
Financial Reporting,Canada,co_occurrence,243
France,Australia,co_occurrence,243
United States,DIRECTORS,co_occurrence,243
United States,BEPS,co_occurrence,243
Securities and Exchange Commission,IP,co_occurrence,242
Securities and Exchange Commission,the U.S. Department of Commerce,co_occurrence,242
Securities and Exchange Commission,Inventories,co_occurrence,242
China,Office of Foreign Assets Control,co_occurrence,242
the Tax Cuts and Jobs Act,Japan,co_occurrence,242
Australia,Euro,co_occurrence,242
Securities and Exchange Commission,DIRECTORS,co_occurrence,241
Italy,United Kingdom,co_occurrence,241
Asian,European Union,co_occurrence,241
the False Claims Act,United States,co_occurrence,241
United States,ACA,co_occurrence,241
European Union,IP,co_occurrence,241
India,Euro,co_occurrence,241
Securities and Exchange Commission,inflation,co_occurrence,240
Disagreements with Accountants on Accounting and Financial Disclosure,Stockholder Matters,co_occurrence,240
Canada,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,240
Mexico,Ukraine,co_occurrence,240
Securities and Exchange Commission,the Inflation Reduction Act,co_occurrence,239
China,Israel,co_occurrence,239
Section 13 or 15(d,FINANCIAL STATEMENT SCHEDULES,co_occurrence,239
Securities and Exchange Commission,the U.S. Department,co_occurrence,238
Singapore,Australia,co_occurrence,238
United States,CFTC,co_occurrence,238
Australia,the California Consumer Privacy Act,co_occurrence,238
Securities and Exchange Commission,FCA,co_occurrence,237
Canada,Netherlands,co_occurrence,237
Securities and Exchange Commission,Intellectual Property,co_occurrence,236
Moody s Investors Service,United Kingdom,co_occurrence,236
Hong Kong,European Union,co_occurrence,236
Canada,States,co_occurrence,236
United States,ERISA,co_occurrence,236
climate change,Cybersecurity,co_occurrence,236
United Kingdom,Credit Facility,co_occurrence,236
European Union,the Private Securities Litigation Reform Act,co_occurrence,235
Taiwan,United Kingdom,co_occurrence,235
Financial Reporting,Basis for Opinion The Company,co_occurrence,234
Canada,the U.S. Congress,co_occurrence,234
China,Switzerland,co_occurrence,233
European Union,Israel,co_occurrence,233
Securities and Exchange Commission,South Korea,co_occurrence,232
Financial Reporting,Restricted,co_occurrence,232
Medicaid,HIPAA,co_occurrence,232
the Health Insurance Portability,European Union,co_occurrence,231
United States,Connecticut,co_occurrence,231
Securities and Exchange Commission,Principal Executive Officer,co_occurrence,230
SUBSIDIARIES CONSOLIDATED BALANCE SHEETS,United States,co_occurrence,230
United States,the European Economic Area,co_occurrence,230
Intellectual Property,European Union,co_occurrence,229
the State of Delaware,United States,co_occurrence,229
United States,CFPB,co_occurrence,229
China,IP,co_occurrence,228
European Union,South Korea,co_occurrence,228
Corporate,United Kingdom,co_occurrence,228
Securities and Exchange Commission,Loss,co_occurrence,226
Securities and Exchange Commission,Italy,co_occurrence,226
Brexit,Foreign Corrupt Practices Act,co_occurrence,226
Ukraine,Brazil,co_occurrence,226
Euro,Russia,co_occurrence,226
China,Credit Facility,co_occurrence,225
Canada,ESG,co_occurrence,225
European Union,the U.S. Department of Commerce,co_occurrence,225
U.S. Treasury,Federal Reserve,co_occurrence,225
Securities and Exchange Commission,CFTC,co_occurrence,224
Germany,Russia,co_occurrence,224
Germany,Mexico,co_occurrence,224
the Clean Air Act,Environmental Protection Agency,co_occurrence,224
United States,Argentina,co_occurrence,224
Australian,Australia,co_occurrence,224
Securities and Exchange Commission,the Democratic Republic of Congo,co_occurrence,223
Intellectual Property,China,co_occurrence,223
Canada,Corporate,co_occurrence,223
United States,Principal Executive Officer,co_occurrence,223
United States,the U.K. Bribery Act,co_occurrence,223
European Union,the European Economic Area,co_occurrence,223
Securities and Exchange Commission,E.U.,co_occurrence,222
Moody s Investors Service,European Union,co_occurrence,222
Singapore,India,co_occurrence,222
Brexit,Japan,co_occurrence,222
Mexico,Foreign Corrupt Practices Act,co_occurrence,222
FINANCIAL STATEMENT SCHEDULES,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,222
Securities and Exchange Commission,Basis for Opinion These,co_occurrence,221
North American,European Union,co_occurrence,221
Singapore,Canada,co_occurrence,221
New Zealand,Australia,co_occurrence,221
Food and Drug Administration,HIPAA,co_occurrence,221
United States,Basis for Opinion These,co_occurrence,221
South Korea,United Kingdom,co_occurrence,221
China,the U.S. Department of Commerce,co_occurrence,220
Canada,Medicare,co_occurrence,220
inflation,climate change,co_occurrence,220
the Paris Agreement,United States,co_occurrence,220
GHG,FERC,co_occurrence,220
Securities and Exchange Commission,Malaysia,co_occurrence,219
Italy,China,co_occurrence,219
China,Healthcare,co_occurrence,219
Brexit,India,co_occurrence,219
the Inflation Reduction Act,European Union,co_occurrence,219
United States,Google,co_occurrence,219
the London Interbank Offered Rate,United Kingdom,co_occurrence,219
Environmental Protection Agency,Russia,co_occurrence,218
Japan,Ukraine,co_occurrence,218
Securities and Exchange Commission,SUBSIDIARIES CONSOLIDATED BALANCE SHEETS,co_occurrence,217
China,General Counsel,co_occurrence,217
Canada,the Private Securities Litigation Reform Act,co_occurrence,217
European Union,FCA,co_occurrence,217
European Union,Critical Accounting Policies,co_occurrence,217
Foreign Corrupt Practices Act,Australia,co_occurrence,217
HIPAA,United Kingdom,co_occurrence,217
China,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,216
Euro,Brazil,co_occurrence,216
Securities and Exchange Commission,Legal,co_occurrence,214
CMS,European Union,co_occurrence,214
China,Credit Agreement,co_occurrence,213
China,Medicaid,co_occurrence,213
Canada,FINANCIAL STATEMENT SCHEDULES,co_occurrence,213
Canada,Liquidity and Capital Resources,co_occurrence,213
Canada,Credit Facility,co_occurrence,213
Canada,FCPA,co_occurrence,213
Brexit,Russia,co_occurrence,213
European Union,Colorado,co_occurrence,213
European Union,Australian,co_occurrence,213
Ukraine,climate change,co_occurrence,213
Germany,Euro,co_occurrence,212
China,Foreign Currency Translation,co_occurrence,212
China,E.U.,co_occurrence,212
China,Australian,co_occurrence,212
Securities and Exchange Commission,HIPAA,co_occurrence,211
Germany,Ireland,co_occurrence,211
Canada,the Delaware General Corporation Law,co_occurrence,211
Canada,Restricted,co_occurrence,211
Food and Drug Administration,Russia,co_occurrence,211
China,Massachusetts,co_occurrence,210
CMS,Food and Drug Administration,co_occurrence,210
European Union,the Democratic Republic of Congo,co_occurrence,210
Moody s,United Kingdom,co_occurrence,209
France,Japan,co_occurrence,209
Section 13 or 15(d,Principal Executive Officer,co_occurrence,209
United Kingdom,Colorado,co_occurrence,209
Securities and Exchange Commission,the State of Delaware,co_occurrence,208
Securities and Exchange Commission,Spain,co_occurrence,208
Germany,Italy,co_occurrence,208
Canada,Credit Agreement,co_occurrence,208
the Tax Cuts and Jobs Act,India,co_occurrence,208
Ukraine,Cybersecurity,co_occurrence,208
Spain,United Kingdom,co_occurrence,208
United Kingdom,Security Ownership of Certain Beneficial Owners and Management,co_occurrence,208
New Zealand,United Kingdom,co_occurrence,207
BEPS,European Union,co_occurrence,207
Federal Reserve,Russia,co_occurrence,207
the U.S. Supreme Court,European Union,co_occurrence,206
Securities and Exchange Commission,Registrant s Common Equity,co_occurrence,206
Registrant s Common Equity,United States,co_occurrence,206
Italy,European Union,co_occurrence,206
China,inflation,co_occurrence,206
Asian,United Kingdom,co_occurrence,206
Brexit,Euro,co_occurrence,206
the Tax Cuts and Jobs Act,Australia,co_occurrence,206
Securities and Exchange Commission,Connecticut,co_occurrence,205
China,Financial Reporting,co_occurrence,205
HHS,United States,co_occurrence,205
